Gene	3487863B11	3487863B7	5002497A10_merged	5002497A10	5002497A8	5016492A2	5016492A7	5020323_merged	5020323	5033367A3_merged	5033367A3	5033367A9	5046835B3	5046835B4	5081237A2	5081237A8	5092612	5116685_merged	5116685	5128646	FFPE_BRA_5002497A10-2_S3	FFPE_BRA_5020323-1_S4	FFPE_BRA_5033367A3-2_S1	FFPE_BRA_5116685-1_S6
ERV316A3_10p11.21b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_10p11.21f	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ERV316A3_10p12.1c	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ERV316A3_10q22.1a	0	0	1	0	0	0	0	0	0	8	8	0	0	0	0	0	2	0	0	0	1	0	0	0
ERV316A3_10q25.1f	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ERV316A3_10q25.3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_11p12c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_11p12f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_11p15.3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	1	0	0	0	0
ERV316A3_11q12.3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	0	4
ERV316A3_11q13.1b	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	2	2	0	0	0	0	0
ERV316A3_11q13.4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_11q21a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_11q22.1i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_11q22.1l	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_11q22.3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_11q23.3c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12p11.22c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12p11.22d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12p13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12p13.33	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12q13.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12q14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12q14.3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ERV316A3_12q21.1	0	0	0	0	0	0	0	3	3	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0
ERV316A3_12q21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12q21.31a	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12q21.32c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12q21.33i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12q23.3b	0	0	0	0	1	0	1	0	0	0	0	0	0	34	0	0	3	0	0	5	0	0	0	0
ERV316A3_12q23.3c	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12q23.3d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12q23.3e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12q24.32d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_12q24.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ERV316A3_13q13.3g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
